1,1,306,151,431,714,0.70,1,1,1
2,1,316,155,426,705,0.72,1,1,1
3,1,320,153,423,699,0.75,1,1,1
4,1,319,152,424,698,0.75,1,1,1
5,1,315,154,429,701,0.79,1,1,1
6,1,310,156,434,702,0.81,1,1,1
6,2,5,555,180,676,0.51,1,1,1
7,1,307,155,439,703,0.81,1,1,1
7,2,5,562,178,667,0.46,1,1,1
8,1,301,160,444,701,0.80,1,1,1
8,2,9,569,176,657,0.45,1,1,1
9,1,296,163,451,699,0.80,1,1,1
9,2,10,576,175,651,0.51,1,1,1
10,1,291,165,458,699,0.80,1,1,1
10,2,10,578,176,650,0.51,1,1,1
11,1,292,173,461,691,0.79,1,1,1
11,2,8,578,176,648,0.47,1,1,1
12,1,299,177,449,658,0.84,1,1,1
12,2,6,580,175,642,0.36,1,1,1
13,1,295,179,464,665,0.81,1,1,1
13,2,4,568,179,656,0.38,1,1,1
14,1,304,195,467,654,0.80,1,1,1
14,2,5,580,176,639,0.62,1,1,1
15,1,311,197,464,632,0.74,1,1,1
15,2,6,586,173,627,0.75,1,1,1
16,1,309,197,470,624,0.74,1,1,1
16,2,5,588,173,623,0.74,1,1,1
17,1,309,200,476,614,0.73,1,1,1
17,2,6,586,175,626,0.75,1,1,1
18,1,314,217,488,614,0.65,1,1,1
18,2,6,582,176,626,0.78,1,1,1
19,1,313,228,504,619,0.74,1,1,1
19,2,7,584,180,634,0.76,1,1,1
20,1,320,236,518,627,0.66,1,1,1
20,2,3,582,182,641,0.74,1,1,1
21,1,327,249,524,622,0.76,1,1,1
21,2,2,573,186,653,0.75,1,1,1
22,1,327,253,532,621,0.76,1,1,1
22,2,1,570,188,657,0.75,1,1,1
23,1,330,256,539,619,0.73,1,1,1
23,2,4,572,188,655,0.73,1,1,1
24,1,340,267,539,611,0.76,1,1,1
24,2,0,569,186,659,0.49,1,1,1
25,1,341,280,542,605,0.82,1,1,1
25,2,1,572,188,655,0.46,1,1,1
26,1,342,287,548,602,0.86,1,1,1
26,2,8,575,188,648,0.61,1,1,1
27,1,347,299,550,593,0.85,1,1,1
27,2,9,575,189,644,0.65,1,1,1
27,4,1458,292,644,397,0.39,1,1,1
28,1,345,303,557,590,0.85,1,1,1
28,2,6,575,191,645,0.64,1,1,1
28,4,1457,292,643,397,0.38,1,1,1
29,1,343,309,569,594,0.85,1,1,1
29,2,6,574,192,645,0.69,1,1,1
29,4,1461,293,644,397,0.39,1,1,1
